episode,reward,length,key_picked,door_opened,goal_reached
648,1.7,18,True,True,True
649,2.0,9,True,True,True
650,1.98,10,True,True,True
651,0.1,50,True,False,False
652,1.98,9,True,True,True
653,2.02,8,True,True,True
654,2.06,7,True,True,True
655,2.02,9,True,True,True
656,1.78,19,True,True,True
657,1.24,35,True,True,True
658,1.86,14,True,True,True
659,2.06,7,True,True,True
660,0.58,50,True,True,False
661,1.64,23,True,True,True
662,0.2,50,True,False,False
663,1.98,9,True,True,True
664,-0.64,50,False,False,False
665,2.06,7,True,True,True
666,-0.84,50,False,False,False
667,2.02,8,True,True,True
668,1.32,39,True,True,True
669,2.06,7,True,True,True
670,2.06,7,True,True,True
671,1.82,16,True,True,True
672,1.36,32,True,True,True
673,1.86,14,True,True,True
674,1.86,15,True,True,True
675,1.94,11,True,True,True
676,1.98,10,True,True,True
677,2.06,7,True,True,True
678,2.02,8,True,True,True
679,-0.04,50,True,False,False
680,2.06,7,True,True,True
681,1.96,10,True,True,True
682,1.96,11,True,True,True
683,0.14,50,True,False,False
684,1.76,18,True,True,True
685,0.8,50,True,True,False
686,2.06,7,True,True,True
687,1.72,22,True,True,True
688,1.96,11,True,True,True
689,2.02,9,True,True,True
690,1.8,17,True,True,True
691,2.02,8,True,True,True
692,2.04,8,True,True,True
693,-0.74,50,False,False,False
694,0.9,50,True,True,False
695,2.02,8,True,True,True
696,1.58,21,True,True,True
697,1.32,40,True,True,True
698,1.86,15,True,True,True
699,1.92,13,True,True,True
700,1.82,15,True,True,True
701,1.86,16,True,True,True
702,1.9,13,True,True,True
703,2.02,8,True,True,True
704,1.8,15,True,True,True
705,1.98,10,True,True,True
706,2.04,8,True,True,True
707,-0.76,50,False,False,False
708,1.98,10,True,True,True
709,1.38,35,True,True,True
710,1.16,34,True,True,True
711,1.9,12,True,True,True
712,1.52,22,True,True,True
713,2.06,7,True,True,True
714,1.34,28,True,True,True
715,1.3,33,True,True,True
716,0.06,50,True,False,False
717,1.52,23,True,True,True
718,1.28,42,True,True,True
719,0.84,50,True,True,False
720,2.04,8,True,True,True
721,0.86,50,True,True,False
722,1.84,15,True,True,True
723,1.1,43,True,True,True
724,0.38,50,True,False,False
725,1.1,40,True,True,True
726,2.06,7,True,True,True
727,2.06,7,True,True,True
728,2.06,7,True,True,True
729,1.88,16,True,True,True
730,1.42,35,True,True,True
731,2.04,8,True,True,True
732,1.98,9,True,True,True
733,-0.8,50,False,False,False
734,1.98,9,True,True,True
735,1.26,38,True,True,True
736,2.06,7,True,True,True
737,2.06,7,True,True,True
738,0.74,50,True,True,False
739,2.02,9,True,True,True
740,2.06,7,True,True,True
741,2.06,7,True,True,True
742,1.98,9,True,True,True
743,0.82,50,True,True,False
744,1.7,22,True,True,True
745,1.44,34,True,True,True
746,2.02,8,True,True,True
747,2.0,9,True,True,True
748,1.84,16,True,True,True
749,2.02,8,True,True,True
750,2.02,8,True,True,True
751,1.98,10,True,True,True
752,2.02,9,True,True,True
753,1.92,14,True,True,True
754,2.02,8,True,True,True
755,1.06,48,True,True,True
756,1.84,17,True,True,True
757,2.06,7,True,True,True
758,2.06,7,True,True,True
759,1.9,13,True,True,True
760,1.5,29,True,True,True
761,2.02,8,True,True,True
762,1.98,10,True,True,True
763,2.02,8,True,True,True
764,1.98,9,True,True,True
765,1.7,23,True,True,True
766,2.06,7,True,True,True
767,2.02,8,True,True,True
768,2.0,10,True,True,True
769,2.06,7,True,True,True
770,2.02,8,True,True,True
771,1.96,10,True,True,True
772,1.68,22,True,True,True
773,0.84,45,True,True,True
774,1.56,21,True,True,True
775,0.86,50,True,True,False
776,1.3,28,True,True,True
777,2.04,8,True,True,True
778,1.98,10,True,True,True
779,1.9,12,True,True,True
780,1.62,20,True,True,True
781,2.06,7,True,True,True
782,0.92,50,True,True,False
783,1.84,17,True,True,True
784,1.52,29,True,True,True
785,0.62,50,True,True,True
786,1.06,43,True,True,True
787,0.18,50,True,False,False
788,1.24,42,True,True,True
789,1.94,12,True,True,True
790,0.76,46,True,True,True
791,1.9,12,True,True,True
792,2.06,7,True,True,True
793,1.34,37,True,True,True
794,2.06,7,True,True,True
795,0.94,50,True,True,False
796,2.02,8,True,True,True
797,2.06,7,True,True,True
798,1.2,45,True,True,True
799,2.02,8,True,True,True
800,-0.76,50,False,False,False
801,1.94,11,True,True,True
802,1.98,9,True,True,True
803,1.8,18,True,True,True
804,0.92,50,True,True,False
805,2.02,8,True,True,True
806,2.04,8,True,True,True
807,1.26,33,True,True,True
808,1.98,11,True,True,True
809,1.86,16,True,True,True
