Experiment,Reward AUC,Success Rate AUC
Calibrated LLM RL 4x4,2009.9576916459187,989.5516811039957
Calibrated LLM RL 8x8,1886.795192960342,996.7723068871434
Linear RL 4x4,1865.5746830074615,945.1090027425321
Uncalibrated RL 4x4,1706.4335954639525,943.7784499319813
Q-Learning,1515.711983614864,830.1815574392828
DQN,317.4359781479669,80.44987799079769
Unguided RL 4x4,221.30675725239445,44.74899919571604
