Experiment,Success Rate (%),Average Steps to Goal,Average Reward,Total Wins,Total Steps,Reward AUC,Success Rate AUC
Calibrated LLM RL 4x4,99.2,8.56350806451613,2.01632,992,8895,2009.9576916459187,989.5516811039957
Calibrated LLM RL 8x8,99.7,15.374122367101304,1.8880599999999994,997,15478,1886.795192960342,996.7723068871434
Linear RL 4x4,74.9,15.837116154873165,1.4547599999999998,749,24412,1865.5746830074615,945.1090027425321
Uncalibrated RL 4x4,94.0,18.387234042553192,1.68766,940,20284,1706.4335954639525,943.7784499319813
Q-Learning,82.39999999999999,16.191747572815533,1.521,824,22142,1515.711983614864,830.1815574392828
DQN,11.600000000000001,31.663793103448278,0.44752,116,47873,317.4359781479669,80.44987799079769
Unguided RL 4x4,5.8999999999999995,35.54237288135593,0.24161999999999983,59,49147,221.30675725239445,44.74899919571604
